@relation lottoInfo

@attribute round numeric
@attribute num1 numeric
@attribute num2 numeric
@attribute num3 numeric
@attribute num4 numeric
@attribute num5 numeric
@attribute num6 numeric
@attribute bonusNum numeric
@attribute winningDate numeric

@data
1121,6,24,31,32,38,44,8,20240525
1120,2,19,26,31,38,41,34,20240518
1119,1,9,12,13,20,45,3,20240511
1118,11,13,14,15,16,45,3,20240504
1117,3,4,9,30,33,36,7,20240427
1116,15,16,17,25,30,31,32,20240420
1115,7,12,23,32,34,36,8,20240413
1114,10,16,19,32,33,38,3,20240406
1113,11,13,20,21,32,44,8,20240330
1112,16,20,26,36,42,44,24,20240323
1111,3,13,30,33,43,45,4,20240316
1110,3,7,11,20,22,41,24,20240309
1109,10,12,13,19,33,40,2,20240302
1108,7,19,26,37,39,44,27,20240224
1107,6,14,30,31,40,41,29,20240217
1106,1,3,4,29,42,45,36,20240210
1105,6,16,34,37,39,40,11,20240203
1104,1,7,21,30,35,38,2,20240127
1103,10,12,29,31,40,44,2,20240120
1102,13,14,22,26,37,38,20,20240113
1101,6,7,13,28,36,42,41,20240106
1100,17,26,29,30,31,43,12,20231230
1099,3,20,28,38,40,43,4,20231223
1098,12,16,21,24,41,43,15,20231216
1097,14,33,34,35,37,40,4,20231209
1096,1,12,16,19,23,43,34,20231202
1095,8,14,28,29,34,40,12,20231125
1094,6,7,15,22,26,40,41,20231118
1093,10,17,22,30,35,43,44,20231111
1092,7,18,19,26,33,45,37,20231104
1091,6,20,23,24,28,30,44,20231028
1090,12,19,21,29,40,45,1,20231021
1089,4,18,31,37,42,43,40,20231014
1088,11,21,22,30,39,44,31,20231007
1087,13,14,18,21,34,44,16,20230930
1086,11,16,25,27,35,36,37,20230923
1085,4,7,17,18,38,44,36,20230916
1084,8,12,13,29,33,42,5,20230909
1083,3,7,14,15,22,38,17,20230902
1082,21,26,27,32,34,42,31,20230826
1081,1,9,16,23,24,38,17,20230819
1080,13,16,23,31,36,44,38,20230812
1079,4,8,18,24,37,45,6,20230805
1078,6,10,11,14,36,38,43,20230729
1077,4,8,17,30,40,43,34,20230722
1076,3,7,9,33,36,37,10,20230715
1075,1,23,24,35,44,45,10,20230708
1074,1,6,20,27,28,41,15,20230701
1073,6,18,28,30,32,38,15,20230624
1072,16,18,20,23,32,43,27,20230617
1071,1,2,11,21,30,35,39,20230610
1070,3,6,14,22,30,41,36,20230603
1069,1,10,18,22,28,31,44,20230527
1068,4,7,19,26,33,35,3,20230520
1067,7,10,19,23,28,33,18,20230513
1066,6,11,16,19,21,32,45,20230506
1065,3,18,19,23,32,45,24,20230429
1064,3,6,9,18,22,35,14,20230422
1063,3,6,22,23,24,38,30,20230415
1062,20,31,32,40,41,45,12,20230408
1061,4,24,27,35,37,45,15,20230401
1060,3,10,24,33,38,45,36,20230325
1059,7,10,22,25,34,40,27,20230318
1058,11,23,25,30,32,40,42,20230311
1057,8,13,19,27,40,45,12,20230304
1056,13,20,24,32,36,45,29,20230225
1055,4,7,12,14,22,33,31,20230218
1054,14,19,27,28,30,45,33,20230211
1053,22,26,29,30,34,45,15,20230204
1052,5,17,26,27,35,38,1,20230128
1051,21,26,30,32,33,35,44,20230121
1050,6,12,31,35,38,43,17,20230114
1049,3,5,13,20,21,37,17,20230107
1048,6,12,17,21,32,39,30,20221231
1047,2,20,33,40,42,44,32,20221224
1046,7,16,25,29,35,36,28,20221217
1045,6,14,15,19,21,41,37,20221210
1044,12,17,20,26,28,36,4,20221203
1043,3,5,12,22,26,31,19,20221126
1042,5,14,15,23,34,43,4,20221119
1041,6,7,9,11,17,18,45,20221112
1040,8,16,26,29,31,36,11,20221105
1039,2,3,6,19,36,39,26,20221029
1038,7,16,24,27,37,44,2,20221022
1037,2,14,15,22,27,33,31,20221015
1036,2,5,22,32,34,45,39,20221008
1035,9,14,34,35,41,42,2,20221001
1034,26,31,32,33,38,40,11,20220924
1033,3,11,15,20,35,44,10,20220917
1032,1,6,12,19,36,42,28,20220910
1031,6,7,22,32,35,36,19,20220903
1030,2,5,11,17,24,29,9,20220827
1029,12,30,32,37,39,41,24,20220820
1028,5,7,12,13,18,35,23,20220813
1027,14,16,27,35,39,45,5,20220806
1026,5,12,13,31,32,41,34,20220730
1025,8,9,20,25,29,33,7,20220723
1024,9,18,20,22,38,44,10,20220716
1023,10,14,16,18,29,35,25,20220709
1022,5,6,11,29,42,45,28,20220702
1021,12,15,17,24,29,45,16,20220625
1020,12,27,29,38,41,45,6,20220618
1019,1,4,13,17,34,39,6,20220611
1018,3,19,21,25,37,45,35,20220604
1017,12,18,22,23,30,34,32,20220528
1016,15,26,28,34,41,42,44,20220521
1015,14,23,31,33,37,40,44,20220514
1014,3,11,14,18,26,27,21,20220507
1013,21,22,26,34,36,41,32,20220430
1012,5,11,18,20,35,45,3,20220423
1011,1,9,12,26,35,38,42,20220416
1010,9,12,15,25,34,36,3,20220409
1009,15,23,29,34,40,44,20,20220402
1008,9,11,30,31,41,44,33,20220326
1007,8,11,16,19,21,25,40,20220319
1006,8,11,15,16,17,37,36,20220312
1005,8,13,18,24,27,29,17,20220305
1004,7,15,30,37,39,44,18,20220226
1003,1,4,29,39,43,45,31,20220219
1002,17,25,33,35,38,45,15,20220212
1001,6,10,12,14,20,42,15,20220205
1000,2,8,19,22,32,42,39,20220129
999,1,3,9,14,18,28,34,20220122
998,13,17,18,20,42,45,41,20220115
997,4,7,14,16,24,44,20,20220108
996,6,11,15,24,32,39,28,20220101
995,1,4,13,29,38,39,7,20211225
994,1,3,8,24,27,35,28,20211218
993,6,14,16,18,24,42,44,20211211
992,12,20,26,33,44,45,24,20211204
991,13,18,25,31,33,44,38,20211127
990,2,4,25,26,36,37,28,20211120
989,17,18,21,27,29,33,26,20211113
988,2,13,20,30,31,41,27,20211106
987,2,4,15,23,29,38,7,20211030
986,7,10,16,28,41,42,40,20211023
985,17,21,23,30,34,44,19,20211016
984,3,10,23,35,36,37,18,20211009
983,13,23,26,31,35,43,15,20211002
982,5,7,13,20,21,44,33,20210925
981,27,36,37,41,43,45,32,20210918
980,3,13,16,23,24,35,14,20210911
979,7,11,16,21,27,33,24,20210904
978,1,7,15,32,34,42,8,20210828
977,2,9,10,14,22,44,16,20210821
976,4,12,14,25,35,37,2,20210814
975,7,8,9,17,22,24,5,20210807
974,1,2,11,16,39,44,32,20210731
973,22,26,31,37,41,42,24,20210724
972,3,6,17,23,37,39,26,20210717
971,2,6,17,18,21,26,7,20210710
970,9,11,16,21,28,36,5,20210703
969,3,9,10,29,40,45,7,20210626
968,2,5,12,14,24,39,33,20210619
967,1,6,13,37,38,40,9,20210612
966,1,21,25,29,34,37,36,20210605
965,2,13,25,28,29,36,34,20210529
964,6,21,36,38,39,43,30,20210522
963,6,12,19,23,34,42,35,20210515
962,1,18,28,31,34,43,40,20210508
961,11,20,29,31,33,42,43,20210501
960,2,18,24,30,32,45,14,20210424
959,1,14,15,24,40,41,35,20210417
958,2,9,10,16,35,37,1,20210410
957,4,15,24,35,36,40,1,20210403
956,10,11,20,21,25,41,40,20210327
955,4,9,23,26,29,33,8,20210320
954,1,9,26,28,30,41,32,20210313
953,7,9,22,27,37,42,34,20210306
952,4,12,22,24,33,41,38,20210227
951,2,12,30,31,39,43,38,20210220
950,3,4,15,22,28,40,10,20210213
949,14,21,35,36,40,44,30,20210206
948,13,18,30,31,38,41,5,20210130
947,3,8,17,20,27,35,26,20210123
946,9,18,19,30,34,40,20,20210116
